date,kernel,family,config,fold,state,hours,wall_clock_hours,weekly_total
2026-09-10 20:48,ecgpcg-dual-cnn-w3-mexh-morl-cv-fold4,dual_cnn,w3_mexh_morl,4,complete,0.069,0.069,6.0094
2026-09-10 20:52,ecgpcg-dual-cnn-w4-gaus4-morl-cv-fold0,dual_cnn,w4_gaus4_morl,0,complete,0.1834,0.1834,6.1928
2026-09-10 20:55,ecgpcg-dual-cnn-w4-gaus4-morl-cv-fold1,dual_cnn,w4_gaus4_morl,1,complete,0.0879,0.0879,6.2807
2026-09-10 21:06,ecgpcg-dual-cnn-w4-gaus4-morl-cv-fold2,dual_cnn,w4_gaus4_morl,2,complete,0.203,0.203,6.4837
2026-09-10 21:07,ecgpcg-dual-cnn-w4-gaus4-morl-cv-fold3,dual_cnn,w4_gaus4_morl,3,complete,0.1694,0.1694,6.6531
2026-09-10 21:15,ecgpcg-dual-cnn-w5-cmor-cmor-cv-fold0,dual_cnn,w5_cmor_cmor,0,complete,0.126,0.126,6.7791
2026-09-10 21:17,ecgpcg-dual-cnn-w4-gaus4-morl-cv-fold4,dual_cnn,w4_gaus4_morl,4,complete,0.1306,0.1306,6.9097
2026-09-10 21:22,ecgpcg-dual-cnn-w5-cmor-cmor-cv-fold1,dual_cnn,w5_cmor_cmor,1,complete,0.0812,0.0812,6.9909
2026-09-10 21:29,ecgpcg-dual-cnn-w5-cmor-cmor-cv-fold2,dual_cnn,w5_cmor_cmor,2,complete,0.1795,0.1795,7.1704
2026-09-10 21:36,ecgpcg-dual-cnn-w5-cmor-cmor-cv-fold3,dual_cnn,w5_cmor_cmor,3,complete,0.2178,0.2178,7.3882
2026-09-10 21:39,ecgpcg-dual-cnn-w5-cmor-cmor-cv-fold4,dual_cnn,w5_cmor_cmor,4,complete,0.1246,0.1246,7.5128
2026-09-10 21:46,ecgpcg-dual-cnn-w6-cmor-mexh-cv-fold1,dual_cnn,w6_cmor_mexh,1,complete,0.0976,0.0976,7.6104
2026-09-10 21:49,ecgpcg-dual-cnn-w6-cmor-mexh-cv-fold0,dual_cnn,w6_cmor_mexh,0,complete,0.1482,0.1482,7.7586
2026-09-10 21:59,ecgpcg-dual-cnn-w6-cmor-mexh-cv-fold3,dual_cnn,w6_cmor_mexh,3,complete,0.1486,0.1486,7.9072
2026-09-10 22:00,ecgpcg-dual-cnn-w6-cmor-mexh-cv-fold2,dual_cnn,w6_cmor_mexh,2,complete,0.1798,0.1798,8.087
2026-09-10 22:05,ecgpcg-dual-cnn-w6-cmor-mexh-cv-fold4,dual_cnn,w6_cmor_mexh,4,complete,0.0836,0.0836,8.1706
